fare_id,price,currency_type,payment_method,transfers,transfer_duration
960,3.90,USD,1,,
961,3.80,USD,1,,
962,3.65,USD,1,,
963,3.55,USD,1,,
964,3.55,USD,1,,
965,3.55,USD,1,,
966,3.10,USD,1,,
967,2.75,USD,1,,
968,2.10,USD,1,,
969,2.10,USD,1,,
970,6.20,USD,1,,
971,2.10,USD,1,,
972,2.10,USD,1,,
973,2.10,USD,1,,
974,2.10,USD,1,,
975,4.00,USD,1,,
976,6.40,USD,1,,
977,5.80,USD,1,,
978,5.90,USD,1,,
979,5.60,USD,1,,
980,5.20,USD,1,,
981,5.00,USD,1,,
982,4.65,USD,1,,
983,4.20,USD,1,,
984,3.65,USD,1,,
985,3.65,USD,1,,
986,5.45,USD,1,,
987,5.45,USD,1,,
988,5.45,USD,1,,
989,5.45,USD,1,,
990,5.50,USD,1,,
991,5.55,USD,1,,
992,5.70,USD,1,,
993,5.80,USD,1,,
994,5.95,USD,1,,
995,9.25,USD,1,,
996,3.90,USD,1,,
997,4.65,USD,1,,
998,4.95,USD,1,,
999,6.55,USD,1,,
1000,7.25,USD,1,,
1001,6.40,USD,1,,
1002,6.70,USD,1,,
1003,11.70,USD,1,,
1004,7.05,USD,1,,
1005,4.15,USD,1,,
1006,4.85,USD,1,,
1007,4.65,USD,1,,
1008,4.45,USD,1,,
1009,4.25,USD,1,,
1010,4.20,USD,1,,
1011,4.10,USD,1,,
1012,4.00,USD,1,,
1013,3.90,USD,1,,
1014,3.90,USD,1,,
1015,3.90,USD,1,,
1016,3.60,USD,1,,
1017,3.25,USD,1,,
1018,2.75,USD,1,,
1019,2.10,USD,1,,
1020,2.10,USD,1,,
1021,6.20,USD,1,,
1022,2.10,USD,1,,
1023,2.10,USD,1,,
1024,2.85,USD,1,,
1025,4.30,USD,1,,
1026,6.70,USD,1,,
1027,6.15,USD,1,,
1028,6.20,USD,1,,
1029,5.95,USD,1,,
1030,5.50,USD,1,,
1031,5.35,USD,1,,
1032,4.95,USD,1,,
1033,4.55,USD,1,,
1034,4.00,USD,1,,
1035,4.00,USD,1,,
1036,5.75,USD,1,,
1037,5.75,USD,1,,
