route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
11,2022_02_14-SU-MVS-Sunday-27,1061235,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061200,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061236,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061201,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061237,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061202,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061238,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061203,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061239,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061204,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061240,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061205,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061241,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061206,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061242,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061207,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061243,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061208,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061244,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061209,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061245,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061210,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061246,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061211,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061247,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061212,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061249,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061213,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061250,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061214,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061253,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061215,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061255,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061219,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061256,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061220,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061257,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061221,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061258,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061222,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061254,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061218,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061259,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061223,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061251,Bay Fair,1,,1001672_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061216,Dublin/Pleasanton,0,,1001740_shp,,1,1
19,2022_02_14-SU19-Sunday-01,1004676,Coliseum,0,,1004175_shp,,1,1
19,2022_02_14-SU19-Sunday-01,1004722,Coliseum,0,,1004175_shp,,1,1
19,2022_02_14-SU19-Sunday-01,1004768,Coliseum,0,,1004175_shp,,1,1
19,2022_02_14-SU19-Sunday-01,1004677,Coliseum,0,,1004175_shp,,1,1
19,2022_02_14-SU19-Sunday-01,1004723,Coliseum,0,,1004175_shp,,1,1
19,2022_02_14-SU19-Sunday-01,1004769,Coliseum,0,,1004175_shp,,1,1
19,2022_02_14-SU19-Sunday-01,1004678,Coliseum,0,,1004175_shp,,1,1
19,2022_02_14-SU19-Sunday-01,1004724,Coliseum,0,,1004175_shp,,1,1
19,2022_02_14-SU19-Sunday-01,1004770,Coliseum,0,,1004175_shp,,1,1
19,2022_02_14-SU19-Sunday-01,1004679,Coliseum,0,,1004175_shp,,1,1
19,2022_02_14-SU19-Sunday-01,1004725,Coliseum,0,,1004175_shp,,1,1
19,2022_02_14-SU19-Sunday-01,1004771,Coliseum,0,,1004175_shp,,1,1
