stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
16070,,Cocio Rd/El Cerrito Ln,N COCIO RD & W EL CERRITO LN,32.462026,-111.344816,,,,,0
16071,,Trico Rd/El Tiro Rd,N TRICO RD & W SANDY ST,32.431401,-111.304218,,,,,0
16072,,Trico-Marana Rd/Sanders Rd,W MARANA RD & N SANDERS RD,32.460472,-111.234466,,,,,0
16073,,Swanson St/Sanders Rd,W SWANSON ST & N SANDERS RD,32.437212,-111.233685,,,,,0
16074,,Sandario Rd/Trico Marana Rd,N SANDARIO RD & W MARANA RD,32.460011,-111.216994,,,,,0
16075,,Grier Rd/Coach Spring Dr,W GRIER RD & N COACH SPRING DR,32.453419,-111.191834,,,,,0
16076,,Adonis Rd/Amole Ci,N ADONIS RD & N AMOLE CIR,32.45879,-111.209337,,,,,0
16077,,Marana Main/Civic Center,N MARANA MAIN ST,32.449121,-111.212168,,,,,0
16078,,Water St/Campbell St,W WATER ST & W CAMPBELL ST,32.415527,-111.154006,,,,,0
16081,,Orange Grove/Thornydale,W ORANGE GROVE RD & N THORNYDALE RD,32.323373,-111.043211,,,,,0
16082,,Mission/Valencia,S MISSION RD & W VALENCIA RD,32.133242,-111.016188,,,,,0
16083,,San Xavier/Mission Rd,W SAN XAVIER RD & S MISSION RD,32.106662,-111.01863,,,,,0
