stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
"68390","","156TH AVE NE & NE 24TH ST","","47.6308632","-122.132446","19"
"68391","","156TH AVE NE & NE 51ST ST","","47.6519547","-122.13253","19"
"68393","","156TH AVE NE & NE 31ST ST","","47.6385231","-122.132217","19"
"68394","","NE 36TH ST & 150TH AVE NE","","47.640976","-122.138542","19"
"68395","","NE 36TH ST & NE 36TH WAY","","47.6424675","-122.127968","19"
"68397","","159TH AVE NE & NE 39TH ST","","47.6447487","-122.126968","19"
"68398","","156TH AVE NE & OVERLAKE TC","","47.6447792","-122.132393","19"
"68400","","156TH AVE NE & NE 20TH ST","","47.6275749","-122.132477","19"
"68401","","159TH AVE NE & NE 36TH WAY","","47.6438789","-122.127151","19"
"68402","","156TH AVE NE & NE 36TH ST","","47.6420898","-122.132408","19"
"68403","","NE 40TH ST & WEST LK SAMMAMISH PKWY SE","","47.646183","-122.108665","19"
"68404","","NE 40TH ST & 156TH AVE NE","","47.6459808","-122.131409","19"
"68405","","NE 40TH ST & 159TH AVE NE","","47.6459923","-122.126648","19"
"68406","","156TH AVE NE & NE 45TH CT","","47.6520233","-122.132339","19"
"68407","","NE 40TH ST & 163RD AVE NE","","47.6461372","-122.123253","19"
"68408","","156TH AVE NE & NE 31ST ST","","47.6379585","-122.132439","19"
"68409","","NE 36TH ST & 150TH AVE NE","","47.6410065","-122.139565","19"
"68410","","156TH AVE NE & NE 15TH ST","","47.6241722","-122.132492","19"
"68420","","156TH AVE NE & NE 15TH PL","","47.622364","-122.132507","19"
"68423","","MICROSOFT WAY & MICROSOFT ACS","","47.6395454","-122.130699","19"
"68424","","MICROSOFT WAY & MICROSOFT ACS","","47.6402817","-122.130493","19"
"68425","","MICROSOFT WAY & 156TH AVE NE","","47.6382446","-122.131615","19"
"68426","","MICROSOFT WAY & NE 36TH ST","","47.6418571","-122.130493","19"
"68427","","MICROSOFT WAY & NE 36TH ST","","47.6417999","-122.130699","19"
"68435","","156TH AVE NE & NE 13TH ST","","47.6204643","-122.132507","19"
"68438","","156TH AVE NE & NE 10TH ST","","47.6181526","-122.132515","19"
"68440","","156TH AVE NE & NE 8TH ST","","47.6165886","-122.132515","19"
"68460","","156TH AVE NE & NE 4TH ST","","47.6134071","-122.132439","19"
"68462","","156TH AVE NE & NE 45TH ST","","47.6494598","-122.132462","19"
"68463","","156TH AVE NE & NE 45TH CT","","47.6500359","-122.132271","19"
"68470","","156TH AVE NE & NE 1ST ST","","47.6114311","-122.132393","19"
"68471","","MAIN ST & 155TH AVE NE","","47.6098862","-122.133118","19"
"68472","","MAIN ST & 152ND PL SE","","47.6099052","-122.13726","19"
