route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"100139","KCM","249","","Overlake TC to South Bellevue P&R",3,"http://metro.kingcounty.gov/schedules/249/n0.html",,
"100228","KCM","48","","Mt Baker to University District to Loyal Heights",3,"http://metro.kingcounty.gov/schedules/048/n0.html",,
"100068","KCM","177","","Federal Way P&R Via I-5",3,"http://metro.kingcounty.gov/schedules/177/n0.html",,
"100084","KCM","192","","Star Lake to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/192/n0.html",,
"100493","KCM","224","","Duvall to Redmond TC",3,"http://metro.kingcounty.gov/schedules/224/n0.html",,
"100207","KCM","355","","Shoreline Community College to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/355/n0.html",,
"100266","KCM","72","","Lake City to University District to CBD",3,"http://metro.kingcounty.gov/schedules/072/n0.html",,
"100187","KCM","312","","UW/CCC Campus to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/312/n0.html",,
"100161","KCM","27","","Colman Park to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/027/n0.html",,
"100487","KCM","102","","Fairwood to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/102/n0.html",,
"100095","KCM","204","","South Mercer Island to Island Crest to M.I. P&R",3,"http://metro.kingcounty.gov/schedules/204/n0.html",,
"100196","KCM","331","","Shoreline CC to Aurora Village TC to Kenmore P&R",3,"http://metro.kingcounty.gov/schedules/331/n0.html",,
"100258","KCM","661","","North Base Shuttle and Shoreline NE 145/I5 to SODO",3,"http://metro.kingcounty.gov/schedules/661/n0.html",,
"100202","KCM","345","","Shoreline Community College to Northgate TC",3,"http://metro.kingcounty.gov/schedules/345/n0.html",,
"100230","KCM","50","","Alki to West Sea/SODO/Beacn Hill/VA Hosp/ Col City",3,"http://metro.kingcounty.gov/schedules/050/n0.html",,
"100070","KCM","179","","Twin Lakes P&R to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/179/n0.html",,
"100101","KCM","21","","Arbor HeightsWestwood Village to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/021/n0.html",,
"100019","KCM","120","","Burien TC - Wetwood Village - Downtown Sea",3,"http://metro.kingcounty.gov/schedules/120/n0.html",,
"100006","KCM","107","","Renton TC to Rainier Beach",3,"http://metro.kingcounty.gov/schedules/107/n0.html",,
"102574","KCM","40","","Northgate TC to Ballard to Fremont to Westlake to",3,"http://metro.kingcounty.gov/schedules/040/n0.html",,
"100110","KCM","219","","Redmond  Issaquah Highlands P&R  Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/219/n0.html",,
"100082","KCM","190","","Redondo Heights P&R/Star Lake/Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/190/n0.html",,
"100476","KCM","244","","Kenmore P&R to Overlake TC",3,"http://metro.kingcounty.gov/schedules/244/n0.html",,
"100261","KCM","68","","Northgate TC to Ravenna to University District",3,"http://metro.kingcounty.gov/schedules/068/n0.html",,
"100195","KCM","330","","Shoreline Community College to Lake City",3,"http://metro.kingcounty.gov/schedules/330/n0.html",,
"100099","KCM","208","","North Bend to Issaquah TC",3,"http://metro.kingcounty.gov/schedules/208/n0.html",,
"100229","KCM","5","","Shoreline CC to Greenwood to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/005/n0.html",,
"100088","KCM","197","","Twin Lakes P&R to University District",3,"http://metro.kingcounty.gov/schedules/197/n0.html",,
"102554","KCM","241","","Eastgate P&R to Bellevue TC",3,"http://metro.kingcounty.gov/schedules/241/n0.html",,
"100002","KCM","10","","Capitol Hill - Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/010/n0.html",,
"100190","KCM","316","","Meridian Park to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/316/n0.html",,
