trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
663,07:24:00,07:24:00,70291,4,,0,0,35028.5394559437,1,,,,,1,1,,,,,,,,,,,
663,07:30:00,07:30:00,70281,5,,0,0,40330.9714799222,1,,,,,1,1,,,,,,,,,,,
663,07:37:00,07:37:00,70271,6,,0,0,45318.2226933606,1,,,,,1,1,,,,,,,,,,,
663,07:44:00,07:44:00,70261,7,,0,0,48219.5593911282,1,,,,,1,1,,,,,,,,,,,
663,07:48:00,07:48:00,70251,8,,0,0,50117.9580597368,1,,,,,1,1,,,,,,,,,,,
663,07:52:00,07:52:00,70241,9,,0,0,52370.3760003479,1,,,,,1,1,,,,,,,,,,,
663,07:58:00,07:58:00,70231,10,,0,0,58258.0832262854,1,,,,,1,1,,,,,,,,,,,
663,08:02:00,08:02:00,70221,11,,0,0,61445.9234054818,1,,,,,1,1,,,,,,,,,,,
663,08:07:00,08:07:00,70211,12,,0,0,65756.7369263478,1,,,,,1,1,,,,,,,,,,,
663,08:10:00,08:10:00,70201,13,,0,0,68864.2276972301,1,,,,,1,1,,,,,,,,,,,
663,08:15:00,08:15:00,70191,14,,0,0,72804.7830144633,1,,,,,1,1,,,,,,,,,,,
663,08:19:00,08:19:00,70171,15,,0,0,75352.7293339112,1,,,,,1,1,,,,,,,,,,,
663,08:22:00,08:22:00,70161,16,,0,0,77368.2207728423,1,,,,,1,1,,,,,,,,,,,
663,08:28:00,08:28:00,70141,17,,0,0,82971.7409863524,1,,,,,1,1,,,,,,,,,,,
663,08:33:00,08:33:00,70131,18,,0,0,86466.275616757,1,,,,,1,1,,,,,,,,,,,
